PlanNumber,RateName,PaymentFactor,MerchantFee,Notes,Status
GAR-001,Standard Garage Door,1200,12,Single car standard,active
GAR-002,Premium Garage Door,1800,10,Premium insulated door,active
GAR-003,Garage Door Opener,350,20,With remote controls,active
GAR-004,Garage Door Sensor,80,25,Safety feature,active
GAR-005,Garage Door Installation,250,30,Labor service per door,active
Name,Unit,Base Price,Min Price,Max Price
Garage Door - Single Steel (8x7),door,950.00,850.00,1100.00
Garage Door - Single Steel Insulated (8x7),door,1150.00,1050.00,1300.00
Garage Door - Double Steel (16x7),door,1450.00,1350.00,1650.00
Garage Door - Double Steel Insulated (16x7),door,1750.00,1600.00,1950.00
Garage Door - Carriage Style Single (8x7),door,1850.00,1700.00,2100.00
Garage Door - Carriage Style Double (16x7),door,2450.00,2200.00,2800.00
Garage Door Opener - Chain Drive,unit,325.00,275.00,375.00
Garage Door Opener - Belt Drive,unit,425.00,375.00,475.00
Garage Door Opener - Wall Mount,unit,525.00,475.00,600.00
Garage Door Installation - Single,door,250.00,200.00,300.00
Garage Door Installation - Double,door,350.00,300.00,425.00
Garage Door Spring Replacement,pair,250.00,225.00,300.00
Garage Door Track Assembly,set,175.00,150.00,200.00
Weather Stripping Kit,door,85.00,75.00,100.00
Smart Control Add-On,unit,125.00,100.00,150.00 
